col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
0.0,32.685326,30.315568,30.315568,53.24,23.29,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1600.0,87.539629,81.021986,81.021986,147.66,70.45,140063.4064,129635.1776,129635.1776,236256.0,112720.0,0,0,0,0,0
1.9,12.867196,11.933452,11.933452,21.09,9.225,244.476724,226.735588,226.735588,400.71,175.275,0,0,0,0,0
462.0,143.928993,133.606452,133.606452,195.99,109.62,66495.194766,61726.180824,61726.180824,90547.38,50644.44,0,0,0,0,0
0.0,81.106479,75.046864,75.046864,134.0,85.135039,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
642.333333333333,1.724783,1.600755,1.600755,2.39,1.228056,39883.882092,37015.85862,37015.85862,55266.36,28397.566944,0,0,0,0,0
0.0,12.92307,11.985984,11.985984,19.135898,9.225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
180.0,79.338611,73.431561,73.431561,131.38,63.86,14280.94998,13217.68098,13217.68098,23648.4,11494.8,0,0,0,0,0
855.0,143.929157,133.549923,133.549923,195.99,115.85,123059.429235,114185.184165,114185.184165,167571.45,99051.75,0,0,0,0,0
0.0,5.84,5.2998,5.2998,8.65,5.84,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
34.4090909090909,12.359512,11.463864,11.463864,19.42,8.796364,9356.150584,8678.145048,8678.145048,14700.94,6658.847548,0,0,0,0,0
300.0,79.525,73.604075,73.604075,133.82,64.01,23857.5,22081.2225,22081.2225,40146.0,19203.0,0,0,0,0,0
0.0,30.695674,28.470192,28.470192,45.376456,21.875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,18.042859,16.706768,16.706768,23.160142,13.58,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,187.268176,173.272141,173.272141,336.0,160.73,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
8.0,41.607333,38.527668,38.527668,54.46,31.261667,1997.151984,1849.328064,1849.328064,2614.08,1500.560016,0,0,0,0,0
0.0,30.699507,28.473726,28.473726,45.38,21.875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,58.522374,53.986174,53.986174,90.19,49.04,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,124.432308,114.850233,114.850233,167.054884,103.59,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,49.543246,45.898386,45.898386,69.96,41.31,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
2079.5,1.611057,1.492007,1.492007,2.39,1.228056,120606.949134,111694.628034,111694.628034,178920.18,91934.728272,0,0,0,0,0
2.4,14.698276,13.633614,13.633614,26.43,11.945,352.758624,327.206736,327.206736,634.32,286.68,0,0,0,0,0
0.0,3.450075,3.130943,3.130943,4.05,3.45,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,9.260273,8.403698,8.403698,10.85,9.27,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,4.689167,4.689167,4.689167,6.65,4.689167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,2.765,2.509237,2.509237,4.55,2.765,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0833333333333333,2.765719,2.50989,2.50989,4.55,2.765833,2.765719,2.50989,2.50989,4.55,2.765833,0,0,0,0,0
0.0,2.765,2.509237,2.509237,4.55,2.765,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1127.0,7.396113,7.318437,7.318437,8.85,6.55,166708.38702,164957.56998,164957.56998,199479.0,147637.0,0,0,0,0,0
-0.340357142857143,11.33,11.33,11.33,14.91,11.0,-107.9749,-107.9749,-107.9749,-142.0923,-104.83,0,0,0,0,0
0.0,1.955389,1.955389,1.955389,3.25,1.728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,8.653518,8.593073,8.593073,11.75,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,10.514808,10.514808,10.514808,10.99,10.3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,20.6,20.6,20.6,26.89,20.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,5.572667,5.057195,5.057195,7.39,5.572667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,5.299201,5.299201,5.299201,6.25,5.3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
35.1805555555556,23.95,23.95,23.95,8.99,23.95,15166.3375,15166.3375,15166.3375,5692.9175,15166.3375,0,0,0,0,0
42.9092857142857,22.990004,22.990004,22.990004,8.99,22.990004,13810.78510292,13810.78510292,13810.78510292,5400.5627,13810.78510292,0,0,0,0,0
6.66666666666667e-05,6.717555,6.096205,6.096205,8.75,8.06,0.006717555,0.006096205,0.006096205,0.00875,0.00806,0,0,0,0,0
0.0,5.100003,5.100003,5.100003,6.85,5.63,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
