id,CodFornec,Fornecedor,colum1,colum2,colum3,colum4,colum5,colum6,colum7,colum8,colum9,colum10,colum11,colum12,colum13,colum14
27,3077,QUIMICA AMPARO LTDA,77,4174.0,2725.675,81,254.119259259259,445.37,2.16370655170169,20583.66,18089.62962,2494.03038,12.1165544903093,0.727943733603246,79.5207899499752,156
28,1360,AB BRASIL INDUSTRIA E COM DE ALIMENTOS L,100,2986.0,687.095167,100,202.9462,0.0,0.0,20294.62,15193.10121,5101.51879,25.1372964361984,0.717721797525762,80.2385117475009,57
29,3074,BASTON INDUSTRIA DE AEROSSOIS LTDA,68,3218.0,487.5,68,296.673088235294,0.0,0.0,20173.77,17697.810948,2475.959052,12.2731599101209,0.713447922024225,80.9519596695252,63
30,3309,NATURAL ONE S.A.,244,3905.0,1682.46,248,79.9037096774194,617.64,3.11685637753506,19816.12,15645.904973,4170.215027,21.0445588086871,0.700799584638007,81.6527592541632,23
31,2470,PHILIMAR INDUSTRIA DE PESCADOS LTDA,44,2040.0,7260.0,45,414.06,0.0,0.0,18632.7,14608.52739,4024.17261,21.5973670482539,0.658947786987796,82.311707041151,4
32,3441,ASA INDUSTRIA E COMERCIO LTDA (HIGIENE),47,5403.0,2908.6,49,380.007142857143,454.8,2.44248899725301,18620.35,17264.412158,1355.937842,7.28202124020225,0.658511027679198,82.9702180688302,5
33,2620,PAPAGUARA INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI,157,1035.0,697.1,158,113.750063291139,612.5,3.40798252442202,17972.51,13668.108664,4304.401336,23.9499176019376,0.635600084320363,83.6058181531505,8
34,3582,MARTIN WENER MOUSINHO NEIVA LTDA,52,3310.0,1655.0,55,323.991090909091,0.0,0.0,17819.51,14134.525292,3684.984708,20.6794951600802,0.630189220011426,84.236007373162,0
35,30,COOPAVEL COOPERATIVA AGROINDUSTRIAL,22,1461.88,1461.88,23,769.423043478261,0.0,0.0,17696.73,14718.97113268,2977.75886732,16.8266050695241,0.625847089816319,84.8618544629783,3
36,3313,GOIAS ALIMENTOS INDUSTRIA E ATACADO EIRELI,120,4746.0,967.64,120,143.114666666667,657.26,3.82711764925095,17173.76,14242.212781,2931.547219,17.069920733724,0.607352189766353,85.4692066527446,113
37,3114,TOURINHO ALIMENTOS LTDA,91,1465.0,340.1,93,177.463333333333,0.0,0.0,16504.09,13551.191655,2952.898345,17.8919185789704,0.583669225702524,86.0528758784472,12
38,3423,INDUSTRIA ALIMENTICIA TRES DE MAIO SA,71,3100.0,914.0,72,185.216527777778,0.0,0.0,13335.59,10538.972813,2796.617187,20.9710795472866,0.471614823330842,86.524490701778,1
